"Name_of_Satellite_Alternate_Names"	Country/Org_of_UN_Registry	Country_of_Operator_Owner	Operator/Owner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Type_of_Orbit	Longitude_of_GEO_degrees	Perigee_km	Apogee_km	Eccentricity	Inclination_degrees	Period_minutes	Launch_Mass_kg	Dry_Mass_kg	Power_watts	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	COSPAR_Number	NORAD_Number	Comments		Source_Used_for_Orbital_Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																											
AIM_Aeronomy_of_Ice_in_Mesosphere	USA	USA	"Center_for_Atmospheric_Sciences_Hampton_University/NASA"	Government	Earth_Observation	Earth_Science	LEO	Sun-Synchronous	0	544	552	5.78E-04	97.9	96.2	215	197	216	2007/4/25	2	Orbital_Sciences_Corp.	USA	Vandenberg_AFB	Pegasus_XL	2007-015A	31304	Study_noctilucent_clouds_NLC_in_the_polar_mesosphere._In_2011_the_mission_was_extended_through_FY_2012.		www.satellitedebris.net_12/12	http://aim.hamptonu.edu/	http://www.lib.cas.cz/www/space.40/2007/015A.HTM	http://www.nasa.gov/mission_pages/aim/index.html	http://www.lib.cas.cz/space.40/2011/044G.HTM																																																																																																																																																																																																																													
AISat-1	Germany	Germany	German_Aerospace_Center_DLR	Government	Communications	Automatic_Identification_System_AIS	LEO	Sun-Synchronous	0	643	660	1.21E-03	98.25	97.76	14			2014/6/30		German_Aerospace_Center_DLR	Germany	Satish_Dhawan_Space_Center	PSLV-CA	2014-034B	40054	Satellite_equipped_with_AIS_tracking.		ZARYA	https://directory.eoportal.org/web/eoportal/satellite-missions/a/aisat	http://www.dlr.de/irs/en/desktopdefault.aspx/tabid-9335/16060_read-39531/																																																																																																																																																																																																																															
AISSat-1_Automatic_Identification_System_Satellite-1	Norway	Norway	Norwegian_Coastal_Admnistration	Government	Communications	Automatic_Identification_System_AIS	LEO	Sun-Synchronous	0	615	632	1.22E-03	98	97.2	6			2010/7/12	3	Kongsberg_Seatex_AS/University_of_Toronto_Institute_for_Aerospace_Studies	Canada	Satish_Dhawan_Space_Center	PSLV	2010-035C	36797	Equipped_with_instrument_that_receives_and_forwards_Automatic_Identification_System_AIS_signals;_will_demonstrate_maritime_ship-tracking_technologies.		www.satellitedebris.net_12/12	http://www.utias-sfl.net/nanosatellites/AISSat-1/	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035C.HTM	http://directory.eoportal.org/presentations/210/10000834.html	http://www.ffi.no/no/Publikasjoner/Documents/AISSAT-1_Norways%20first%20observation%20satellite.pdf																																																																																																																																																																																																																													
AISSat-2_Automatic_Identification_System_Satellite-2	Norway	Norway	Norwegian_Coastal_Admnistration	Government	Communications	Automatic_Identification_System_AIS	LEO	Sun-Synchronous	0	625	631	4.29E-04	98.4	97.27	6			2014/7/8	3	Kongsberg_Seatex_AS/University_of_Toronto_Institute_for_Aerospace_Studies	Norway/Canada	Baikonur_Cosmodrome	Soyuz-2.1b	2014-037G	40075	Second_in_the_series.		ZARYA	http://www.ffi.no/no/Publikasjoner/Documents/AISSAT-1_Norways%20first%20observation%20satellite.pdf	http://web.spacecentre.no/eng/Norway-in-Space/Norway-s-Satellites																																																																																																																																																																																																																															
AIST-1	Russia	Russia	"Samara_State_Aerospace_University_SGAU"	Civil	Technology_Development		LEO	Polar	0	599	626	1.93E-03	82.4	96.9				2013/12/28		TsSKB_Progress	Russia	Plesetsk_Cosmodrome	"Soyuz_21v"	2013-078C	39492	Designed_to_measure_the_EarthÅfs_geomagnetic_field_and_test_out_a_new_satellite_design.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																																
AIST-2	Russia	Russia	"Samara_State_Aerospace_University_SGAU"	Civil	Technology_Development		LEO	Non-Polar_Inclined	0	558	582	1.73E-03	64.88	96.06	53			2013/4/19	3	"Samara_State_Aerospace_University_SGAU"	Russia	Baikonur_Cosmodrome	Soyuz_2.1a	2013-015D	39133	Designed_to_measure_the_EarthÅfs_geomagnetic_field_and_test_out_a_new_satellite_design.			http://www.russianspaceweb.com/aist.html	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																															
Akebono_EXOS-D	Japan	Japan	"Institute_of_Space_and_Aeronautical_Science_University_of_Tokyo"	Civil	Space_Science		LEO	Elliptical	0	259	"3893"	#NAME?	75.04	150.4		294	270	1989/2/21	1	"Institute_of_Space_and_Aeronautical_Science_University_of_Tokyo"	Japan	Uchinoura_Space_Center	Mu_3S2	1989-016A	19822	Investigate_particle_acceleration_regions_above_auroral_region;_develop_better_understanding_of_acceleration_mechanism_and_relation_to_substorm_phenomena.		WT	http://www.rolfisoft.de/html/satdb_1989_eng.html	http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1989-016A	http://www.jaxa.jp/missions/projects/sat/geospace/akebono/index_e.html																																																																																																																																																																																																																														
ALiCE??AFIT_LEO_iMESA_CNT_E	NR	USA	US_Air_Force_Institute_of_Technology	Military	Technology_Development		LEO	Polar	0	443	886	3.15E-02	120.3	98	5			2013/12/6		US_Air_Force_Institute_of_Technology	USA	Vandenberg_AFB	Atlas_5	2013-072F	39467	Testing_a_potential_lightweight_propulsion_system_for_microsatellites_based_on_an_array_of_advanced_carbon_nanotubes_for_accelerating_ions.		ZARYA_estimated	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																															
Alphasat_I-XL??Inmarsat_IV-A_F4	United_Kingdom	United_Kingdom/ESA	"INMARSAT_Ltd./European_Space_Agency"	Commercial/Government	Communications/Technology_Development		GEO		25	"35786"	"35787"	1.19E-05	0.02	1436.09	"6650"	"3370"	"12000"	2013/7/25	15	Astrium	France/UK/Germany/Spain	Guiana_Space_Center	Ariane_5_ECA	2013-038A	39215	Partnership_between_INMARSAT_and_ESA._Expands_INMARSAT's_communications_and_carries_4_technology_demonstration_packages.		ZARYA	http://www.esa.int/Our_Activities/Telecommunications_Integrated_Applications/Alphasat/Overview	http://www.esa.int/Our_Activities/Telecommunications_Integrated_Applications/Alphasat/Overview																																																																																																																																																																																																																															
Alsat-2A_Algeria_Satellite_2A	Algeria	Algeria	Centre_National_des_Techniques_Spatiales_CNTS	Government	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	672	674	1.42E-04	98.1	98.2	130			2010/7/12	5	EADS_Astrium	France/UK/Germany/Spain	Satish_Dhawan_Space_Center	PSLV	2010-035D	36798	"The_system_will_enable_Algeria_to_obtain_very_high_quality_images_for_use_in_a_wide_variety_of_applications:_cartography_management_of_agriculture_forestry_water_mineral_and_oil_resources_crop_protection_management_of_natural_disasters_and_land_planning."		www.satellitedebris.net_12/12	http://directory.eoportal.org/get_announce.php?an_id=14250	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035D.HTM																																																																																																																																																																																																																															
