"Name_of_Satellite,_Alternate_Names"	Country/Org_of_UN_Registry	Country_of_Operator_Owner	Operator_Owner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Type_of_Orbit	Longitude_of_GEO_(degrees)	Perigee_(km)	Apogee_(km)	Eccentricity	Inclination_(degrees)	Period_(minutes)	Launch_Mass_(kg.)	Dry_Mass_(kg.)	Power_(watts)	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	COSPAR_Number	NORAD_Number	Comments		Source_Used_for_Orbital_Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																											
Iridium_20A_(Iridium_SVO89)	China	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/12/19	8_yrs.	Motorola_Satellite_Communications_Group	USA	Taiyuan_Launch_Center	Long_March_2C	1998-074A	25577			www.satellitedebris.net_12/12		http://www.rod.sladen.org.uk/iridfail.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx542.html		http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_21A_(Iridium_SVO93)	China	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	775	780	3.50E-04	86.4	100.4	689	556	"1,400_(EOL)"	1999/6/11	8_yrs.	Motorola_Satellite_Communications_Group	USA	Taiyuan_Launch_Center	Long_March_2C	1999-032B	25778			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx548.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_22_(Iridium_SV022)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/8/21	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-043E	24907			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_23_(Iridium_SV023)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/8/21	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-043D	24906			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_25_(Iridium_SV025)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/8/21	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-043B	24904			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_3_(Iridium_SV078)	China	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	780	2.80E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/8/19	8_yrs.	Motorola_Satellite_Communications_Group	USA	Taiyuan_Launch_Center	Long_March_2C	1998-048A	25431			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx538.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_30_(Iridium_SV030)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/9/14	8_yrs.	Motorola_Satellite_Communications_Group	USA	Baikonur_Cosmodrome	Proton_K	1997-051F	24949			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_31_(Iridium_SVO31)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/9/14	8_yrs.	Motorola_Satellite_Communications_Group	USA	Baikonur_Cosmodrome	Proton_K	1997-051G	24950			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_32_(Iridium__SV032)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/9/14	8_yrs.	Motorola_Satellite_Communications_Group	USA	Baikonur_Cosmodrome	Proton_K	1997-051B	24945			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_34_(Iridium_SV034)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/9/27	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-056E	24969			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_35_(Iridium_SV035)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/9/27	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-056B	24966			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_37_(Iridium_SV037)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/9/27	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-056D	24968			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx527.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_39_(Iridium_SV039)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/11/9	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-069D	25042			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx529.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_40_(Iridium_SV040)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/11/9	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-069C	25041			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx529.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_41_(Iridium_SV041)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/11/9	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-069B	25040			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx529.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_42_(Iridium_SV042)	China	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/12/8	8_yrs.	Motorola_Satellite_Communications_Group	USA	Taiyuan_Launch_Center	Long_March_2C	1997-077A	25077			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_43_(Iridium_SV043)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/11/9	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-069A	25039			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx529.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_45_(Iridium_SV045)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/12/20	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-082A	25104			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_46_(Iridium_SV046)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/8/21	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-043C	24905			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_47_(Iridium_SV047)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	780	2.80E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/12/20	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-082C	25106			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_49_(Iridium_SV049)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/12/20	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-082E	25108			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_5_(Iridium_SV005)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/5/5	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-020D	24795	"According_to_Rod_Sladen,_the_only_person_who_tracks_the_Iridium_system,_Iridium_51_may_have_replaced_Iridium_5,_but_its_not_certain_at_this_time."		www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx523.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_50_(Iridium_SV050)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	780	2.80E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/2/18	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1998-010D	25172			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_51_(Iridium_SV_051)	China	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/3/25	8_yrs.	Motorola_Satellite_Communications_Group	USA	Taiyuan_Launch_Center	Long_March_2C	1998-018A	25262	Iridium_51_and_Iridium_5_were_first_confused_by_OIG._They_have_been_correctly_separated.		www.satellitedebris.net_12/12	http://www.lib.cas.cz/space.40/1998/018A.HTM																																																																																																																																																																																																																																
Iridium_52_(Iridium_SV052)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/2/18	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1998-010A	25169			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_53_(Iridium_SV053)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/2/18	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1998-010E	25173			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_54_(Iridium_SV054)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4		556	"1,400_(EOL)"	1998/2/18	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1998-010C	25171			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_55_(Iridium_SV055)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/3/30	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1998-019A	25272			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_56_(Iridium_SV056)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/2/18	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1998-010B	25170			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_57_(Iridium_SV057)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/3/30	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1998-019B	25273			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_58_(Iridium_SV058)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/3/30	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1998-019C	25274			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_59_(Iridium_SV059)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	780	2.80E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/3/30	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1998-019D	25275			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_6_(Iridium_SV006)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	780	2.80E-04	86.4	100.4	689	556	"1,400_(EOL)"	1997/5/6	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1997-020C	24794			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx523.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_60_(Iridium_SV060)	USA	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/3/30	8_yrs.	Motorola_Satellite_Communications_Group	USA	Vandenberg_AFB	Delta_2_7920	1998-019E	25276			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
Iridium_61_(Iridium_SV061)	China	USA	Iridium_Satellite_LLC	Government/Commercial	Communications		LEO	Polar	0	776	779	2.10E-04	86.4	100.4	689	556	"1,400_(EOL)"	1998/3/25	8_yrs.	Motorola_Satellite_Communications_Group	USA	Taiyuan_Launch_Center	Long_March_2C	1998-018B	25263			www.satellitedebris.net_12/12	samadhi.jpl.nasa.gov	http://members.ozemail.com/au/~lbrash/satellites/iridium.html	http://www.iridium.com/corp/iri_corp-understand.asp	http://nssdc.gsfc.nasa.gov/spacewarn/spx533.html	http://www.itu.int/osg/spu/seminars/de%20weck/de%20weck%20presentation_01072004.pdf	http://com.uvigo.es/asignaturas/scvs/trabajos/curso0001/biblio/ICO/SISTEMA%20ICO.htm																																																																																																																																																																																																																											
